ID-taxodros|author|year|title|pagination|volume|journalOrPublisher|formatAndMeta|pubDate|libNumber|issue|editor|volumeTitle
ali, 1963|Ali, S.M.|1963|A Preliminary Note on the Natural Enemies of sugarcane Mealybug, Pseudococcus saccharifolii (Green) in Bihar (India).|131-132|7|Indian J. SugCane Res. Dev.|pdf|||||
alipaz et al., 2001|Alipaz, J.A. & Wu, C.-I. & Karr, T.L.|2001|Gametic incompatibilities between races of Drosophila melanogaster.|789-795|268|Proc. r. Soc.|pdf|||||
allemand & bouletreau, 1989|Allemand, R. & Bouletreau-Merle, J.|1989|Correlated responses in lines of Drosophila melanogaster selected for different oviposition behaviours.|1147-1150|45|Experientia|pdf / 1.xii.1989|1989-12-01||||
allemand & david, 1976|Allemand, R. & David, J.R.|1976|The Circadian Rhythm of Oviposition in Drosophila melanogaster: A Genetic Latitudinal Cline in Wild Populations.|1403-1405|32|Experientia|pdf / 15.xi.1976|1976-11-15||||
allemand & david, 1984|Allemand, R. & David, J.R.|1984|Genetic Analysis of the Circadian Oviposition Rhythm in Drosophila melanogaster: Effects of Drift in Laboratory Strains.|31-43|14|Behav. Genet.|pdf / p 814849 / i.1984|1984-01-31|p 814849|||
allemand et al., 1973|Allemand, R. & Cohet, Y. & David, J.|1973|Increase in the longevity of adult Drosophila melanogaster kept in permanent darkness.|279-283|8|Exp. Gerontol.|pdf / ba m|||||
allemand et al., 1976|Allemand, R. & Cohet, Y. & Savolainen, O.|1976|Effects of different light regimens on the egg production and egg hatchability of Drosophila melanogaster adults.|76-85|73|Acta ent. bohemoslovaca|pdf / part / seg 701 / 20.v.1976|1976-05-20||||
allemand et al., 1984|Allemand, R. & Fouillet, P. & David, J.R.|1984|Variabilite genetique du rythme circadien de ponte dans les populations naturelles de Drosophila melanogaster.|27-44|16|Genet. Sel. Evol.|pdf|||||
allemand et al., 2002|Allemand, R. & Lemaitre, D. & Frey, F. & Bouletreau, M. & Vavre, F. & Nordlander, G. & van Alphen, J. & Carton, Y.|2002|Phylogeny of six African Leptopilina species (Hymenoptera: Cynipoidea, Figitidae), parasitoids of Drosophila, with description of three new species.|319-332|38|Annls Soc. ent. Fr.|pdf / part / seg 281c|||||
allemand, 1974|Allemand, R.|1974|Importance evolutive du comportement de ponte chez les insectes: comparaison du rythme circadien d'oviposition chez les six especes de Drosophila du sous-groupe melanogaster.|2075-2077|279|C. r. Seanc. Acad. Sci., Paris|pdf / us 285 / 23.xii.1974|1974-12-23||||
allemand, 1976c|Allemand, R.|1976|Importance adaptative du rythme circadien de ponte chez les drosophilides: comparaison de huit especes du genre Zaprionus.|85-88|282|C. r. Seanc. Acad. Sci., Paris|pdf / us 285 / 5.i.1976 / 1976c|1976-01-05||||
allemand, 1977a|Allemand, R.|1977|Le potentiel reproducteur des adultes de Drosophila melanogaster: variations genetiques en reponse aux regimes lumineux.|1-7|47|Genetica|pdf / 1977a|||||
allemand, 1981|Allemand, R.|1981|Determinisme exogene du rythme de ponte chez Drosophila melanogaster: Role du passage photophase-scotophase.|161-164|293|C. r. Seanc. Acad. Sci., Paris|pdf / us 285 / 21.ix.1981|1981-09-21||||
allemand, 1983b|Allemand, R.|1983|The circadian oviposition rhythm of Drosophila melanogaster. II: Influence of biotic factors.|273-288|8|Biol. Comport.|pdf / p 817293 / 1983b||p 817293|||
allen & noor, 2007|Allen, E.C. & Noor, M.A.F.|2007|Relative mating success of hybrid and pure species males to highly discriminating D. pseudoobscura females.|10-14|90|D. I. S.|pdf|||||
allen et al., 1961|Allen, W.R. & Askew, W.L. & Schreiber, K.|1961|Insecticidal Control of the Sugar-Beet Root Maggot and Yield of Sugar Beets.|178-181|54|J. econ. Ent.|pdf / p 812978 / ii.1961|1961-02-31|p 812978|||
allen, 1965|Allen, A.A.|1965|A Few Notable Diptera from Windsor Forest.|105-109|77|Ent. Rec.|pdf / 15.iv.1965|1965-04-15||||
allen, 1966|Allen, A.C.|1966|The effects of recombination on quasinormal second and third chromosomes of Drosophila melanogaster from a natural population.|1409-1422|54|Genetics|pdf / 6.xii.1966|1966-12-06||||
allen, 1969|Allen, A.C.|1969|Lethal frequencies on second and third chromosomes in populations of Drosophila melanogaster.|629-637|63|Genetics|pdf / xi.1969|1969-11-31||||
almeida & carareto, 2002|de Almeida, L.M. & Carareto, C.M.A.|2002|Gonadal hybrid dysgenesis in Drosophila sturtevanti (Diptera, Drosophilidae).|71-79|92|Iheringia, Ser. Zool.|pdf|||||
almeida & carareto, 2003|Almeida, L.M. & Carareto, C.M.A.|2003|Identification of two subfamilies of Micropia transposable element in species of the repleta group of Drosophila. (Abstract).|154|49|Resum. Congr. bras. Genet.||||||
almeida & carareto, 2005|de Almeida, L.M. & Carareto, C.M.A.|2005|Multiple events of horizontal transfer of the Minos transposable element between Drosophila species.|583-594|35|Molec. Phylog. Evol.|pdf|||||
almeida & desalle, 2008a|Almeida, F.C. & DeSalle, R.|2008|Evidence in Adaptive Evolution of Accessory Gland Proteins in Closely Related Species of the Drosophila repleta Group.|2043-2053|25|Molec. Biol. Evol.|pdf / 2008a|||||
almeida & desalle, 2009|Almeida, F.C. & DeSalle, R.|2009|Orthology, Function and Evolution of Accessory Gland Proteins in the Drosophila repleta Group.|235-245|181|Genetics|pdf|||||
almeida & reyes, 2000|de Almeida, G.R. & Reyes, F.G.R.|2000|Drosophila melanogaster Meigen: 1. Sensibilidade ao endosulfan e biomonitoramento de seus residuos em couve-manteiga.|15-23|58|Revta Inst. Adolfo Lutz|pdf / GE OMS|||||
almeida et al., 2001|Almeida, L.M. & Castro, J.P. & Carareto, C.M.A.|2001|Micropia transposable element occurrence in Drosophila species of the saltans group.|114-117|84|D. I. S.|pdf / XII.2001|||||
almeida et al., 2003|de Almeida, L.M. & Langeani, F. & Carareto, C.M.A.|2003|Geographic polymorphism of P element in populations of Drosophila sturtevanti.|175-179|26|Genet. and Molec. Biol.|pdf|||||
alonso & heed, 1992|Alonso-Pimentel, H. & Heed, W.B.|1992|Behavioral Characteristics and Reproductive Traits of Saguaro-Breeding Drosophila.|79-87|||pdf / VI.1992||||Stone, C.P. & Bellantoni, E.S.|Proceedings of the Symposium on Research in Saguaro National Monument, 23-24 January 1991, Tucson, Arizona
alonso & munoz, 1986|Alonso-Moraga, A. & Munoz-Serrano, A.|1986|Allozyme polymorphism and linkage disequilibrium of Adh and Alpha-Gpdh loci in wine cellar and field populations of Drosophila melanogaster.|1048-1050|42|Experientia|pdf / 15.xi.1986|1986-11-15||||
alonso & munoz, 1988a|Alonso-Moraga, A. & Munoz-Serrano, A.|1988|Variation at four enzyme loci in natural populations of Drosophila melanogaster: factor analyses of genotypic and gametic associations.|15-24|20|Genet. Sel. Evol.|pdf / p 819550 / 1988a||p 819550|||
alonso & munoz, 1988b|Alonso-Moraga, A. & Munoz-Serrano, A.|1988|Variation at four enzyme loci in natural populations of Drosophila melanogaster: factor analysis of genotypic and gametic associations.|15-24|20|Genet. Sel. Evol.|pdf / 1988b|||||
alonso & tobin, 1992|Alonso-Pimentel, H. & Tobin, T.R.|1992|Discriminant Function Analysis of the Courtship Behavior of Drosophila mojavensis (Diptera: Drosophilidae).|131-139|5|J. Insect Behav.|pdf / p 819475 / i.1992|1992-01-31|p 819475|||
alonso et al., 1985|Alonso-Moraga, A. & Munoz-Serrano, A. & and Rodero, A.|1985|Variation of allozyme frequencies in Spanish field and cellar populations of D. melanogaster.|435-442|17|Genet. Sel. Evol.|pdf|||||
alonso et al., 1988|Alonso-Moraga, A. & Munoz-Serrano, A. & Serradilla, J.M. & David, J.R.|1988|Microspatial differentiation of Drosophila melanogaster populations in and around a wine cellar in southern Spain.|307-314|20|Genet. Sel. Evol.|pdf / p 819550 / ix.1988|1988-09-31|p 819550|||
alonso et al., 1994|Alonso-Pimentel, H. & Tolbert, L.P. & Heed, W.B.|1994|Ultrastructural examination of the insemination reaction in Drosophila.|467-479|275|Cell Tissue Res.|pdf / part / p 813033||p 813033|||
alonso et al., 1995|Alonso-Pimentel, H. & Spangler, H.G. & Heed, W.B.|1995|Courtship sounds and behaviour of the two saguaro-breeding Drosophila and their relatives.|1031-1039|50|Anim. Behav.|pdf|||||
alonso et al., 2006|Alonso-Gonzalez, L. & Dominguez, A. & Albornoz, J.|2006|Direct determination of the influence of extreme temperature on transposition and structural mutation rates of Drosophila melanogaster mobile elements.|11-19|128|Genetica|pdf|||||
alphen & drijver, 1982|van Alphen, J.J.M. & Drijver, R.A.B.|1982|Host selection by Asobara tabida Nees (Braconidae: Alysiinae) a larval parasitoid of fruit inhabiting Drosophila species. I. Host stage selection with Drosophila melanogaster as host species|215-231|32|Neth. J. Zool.|pdf|||||
alphen & janssen, 1982a|van Alphen, J.J.M. & Janssen, A.R.M.|1982|Host selection by Asobara tabida nees (Braconidae; Alysiinae) a larval parasitoid of fruit inhabiting Drosophila species. II. Host species selection.|194-214|32|Neth. J. Zool.|pdf / p 89188 / 1982a||p 89188|||
alphen & nell, 1982b|van Alphen, J.J.M. & Nell, H.W.|1982|Superparasitism and host discrimination by Asobara tabida nees (Braconidae: Alysiinae), a larval parasitoid of Drosophilidae.|232-260|32|Neth. J. Zool.|pdf / part / p 89188 / 18.viii.1982|1982-08-18|p 89188|||
alphen et al., 1987|van Alphen, J.J.M. & van Dijken, M.J. & Waage, J.K.|1987|A functional approach to superparasitism: host discrimination needs not be learnt.|167-179|37|Neth. J. Zool.|pdf / part / p 89188||p 89188|||
alphen et al., 1991|van Alphen, J.J.M. & Nordlander, G. & Eijs, I.|1991|Host habitat finding and host selection of the Drosophila parasitoid Leptopilina australis (Hymenoptera, Eucoilidae), with a comparison of the niches of European Leptopilina species.|324-329|87|Oecologia|pdf|||||
alphen et al., 1992|van Alphen, J.J.M. & Visser, M.E. & Nell, H.W.|1992|Adaptive superparasitism and patch time allocation in solitary parasitoids: searching in groups vs sequential patch visits.|528-535|6|Funct. Ecol.|pdf|||||
alston, 2009|Alston, D.|2009|New Fruit Fly Pest Rapidly Expands its Distribution in the West During 2009.|||online:www.utahhort.org/|pdf|||||
altenburg & muller, 1920|Altenburg, E. & Muller, H.J.|1920|The genetic basis of truncate wing. - An inconstant and modifiable character in Drosophila.|1-59|5|Genetics|pdf|||||
altman & dittmer, 1962|Altman, P.L. & Dittmer, D.S.|1962|Growth, including Reproduction and Morphological Development.|||Federation American Soc. Experim. Biol.|pdf / part|||||
altoma et al., 2010|Al T'Oma, Z. & Mohammad, A.R. & van der Linde, K.|2010|First records of Zaprionus indianus (Diptera: Drosophilidae) from the Basra governorate in Iraq.|197-200|93|D. I. S.|pdf / xii.2010|2010-12-31||||
alvarez et al., 1980|Alvarez, G. & Zapata, C. & Fontdevila, A.|1980|Modifier variability in a natural population of Drosophila subobscura.|81-89|12|Acta biol. jugosl., Genetika|pdf|||||
alvarez et al., 1989|Alvarez, D. & Iannini, A. & Cardenas, H. & Hoenigsberg, H.F.|1989|Population genetics in the American tropics. XXXIX. Asymmetry as a divergence factor in demes of Drosophila pseudoobscura in the Cundiboyacense Altiplano of Colombia.|269-311|3|Evol. Biol., Bogota|pdf / part / viii.1989|1989-08-31||||
alvarez et al., 1990|Alvarez, G. & Martinez, P. & Zapata, C.|1990|Genetic variation in a modifier system affecting the expression of Bare mutant of Drosophila subobscura.|55-66|64|Heredity|pdf / ii.1990|1990-02-31||||
alvarez et al., 2001|Alvarez, D. & Ruiz-Garcia, M. & Noor, M. & Salceda, V.M.|2001|Comparative genetic structure among Colombian and Mexican Drosophila pseudoobscura populations by using 14 microsatellite markers: a first approach.|75-82|84|D. I. S.|pdf / XII.2001|||||
alvarez et al., 2002a|Alvarez, D. & Ruiz-Garcia, M. & Guerrero, J. & Jaramillo, J-P.|2002|Detection of stabilizing selection in favor of the Santa Cruz homokaryotype in Drosophila pseudoobscura populations from the high plateau of the Colombian Andes.|1-24|1|Genet. Mol. Res.|pdf / 2002a|||||
alvarez et al., 2002b|Alvarez, D. & Noor, M.A.F. & Ruiz-Garcia, M.|2002|Comparative Genetic Structure between Tropical Colombian and North American Drosophila pseudoobscura Populations.|81-92|34|Biotropica|pdf / p 816953||p 816953|||
alvarez et al., 2014a|Alvarez, E. & Pino, L. & Jara, C. & Medina, M.C. & Del Pino, F. & Godoy-Herrera, R..|2014|The development of hooks in larvae of the two isolates of Drosophila gaucha.|76-79|97|D. I. S.|pdf|||||
alves et al., 2007|Alves, N.S. & Machado, L.P.B. & Mateus, R.P.|2007|Perfil de esterases ao longo do desenvolvimento de populacoes da especie Drosophila mercatorum pararepleta (Diptera; Drosophilidae). (Abstract).|234|53|Resum. Congr. bras. Genet.|pdf|||||
alves et al., 2010|Alves, H. & Rouault, J.-D. & Kondoh, Y. & Nakano, Y. & Yamamoto, D. & Kim, Y.-K. & Jallon, J.-M.|2010|Evolution of Cuticular Hydrocarbons of Hawaiian Drosophilidae.|694-705|40|Behav. Genet.|pdf|||||
amador & juan, 1998|Amador, A. & Juan, E.|1998|Morphology of mouth hooks and anterior spiracles during larval development of D. funebris.|153-154|81|D. I. S.|pdf / part|||||
amador et al., 2011|Amador, R.B. & Martins, M.B. & da Silva Furtado, I.|2011|Is Zaprionus indianus invading a preserved Amazon forest?|73|94|D. I. S.|pdf / xii.2011|2011-12-31||||
amante et al., 1971|Amante, E. & Vulcano, A. & Abrahao, J.|1971|Observacoes preliminares sobre a influencia da entomofauna na dispersao dos uredosporos da ferrugem do cafeeiro (Hemileia vastatrix).|102-105|37|Biologico|pdf / iv.1971|1971-04-31||||
amerine & joslyn, 1970|Amerine, M.A. & Joslyn, M.A.|1970|Table wines. the technology of their production. 2nd Edition.|||University of California Press|pdf / part / l 1959|||||
amin et al., 2005a|Amin ud Din, M. & Mazhar, K. & Haque, S. & Ahmed, M.|2005|A preliminary report on Drosophila fauna of Islamabad (Capital, Pakistan).|6-7|88|D. I. S.|pdf / xii.2005 / 2005a|2005-12-31||||
amin et al., 2005b|Amin ud Din, M. & Khan, S.M.N. & Bakhsh, A. & Aleem, R. & Haque, S. & Salam, A.|2005|Study of Drosophila association with certain plant species in Islamabad, Pakistan.|15-16|88|D. I. S.|pdf / xii.2005 / 2005b|2005-12-31||||
amlou et al., 1997|Amlou, M. & Pla, E. & Moreteau, B. & David, J.R.|1997|Genetic analysis by interspecific crosses of the tolerance of Drosophila sechellia to major aliphatic acids of its host plant.|511-522|29|Genet. Sel. Evol.|pdf / P 819550|||||
amlou et al., 1998a|Amlou, M. & Moreteau, B. & David, J.R.|1998|Larval tolerance in the Drosophila melanogaster species complex toward the two toxic acids of the D. sechellia host plant.|7-14|129|Hereditas|pdf / 1998a|||||
amlou et al., 1998b|Amlou, M. & Moreteau, B. & David, J.R.|1998|Genetic Analysis of Drosophila sechellia Specialization: Oviposition Behavior Toward the Major Aliphatic Acids of Its Host Plant.|455-464|28|Behav. Genet.|pdf / P814849 / 1998b|||||
ammerman et al., 1954|Ammerman, G.R. & Davis, J.J. & Desrosier, N.W.|1954|Drosophila Control in Indiana Tomato Factories.|81-82|9|Proc. N. Centr. Brch ent. Soc. Am.|pdf|||||
amorim & vasconcelos, 1989|Amorim, D. de S. & de Vasconcelos, C.M.|1989|First known Brazilian species of the genera Scutops and Neoscutops (Diptera: Periscelididae), with comments on the relationships among the species in each genus.|37-44|84|Mem. Inst. Oswaldo Cruz|pdf|||||
amosova, 1990|Amosova, I.S.|1990|Some indices of thermophily and heat resistance in two species of the genus Drosophila Fll. (Diptera, Drosophilidae). (in Russian, with English summary).|495-499|69|Ent. Obozr.|pdf / seg 612|||||
amoudi et al., 1991|Amoudi, M.A. & Diab, F.M. & and Abou-Fannah, S.S.M.|1991|Zaprionus indiana (Diptera: Drosophilidae) in Saudi Arabia and the Effect of Temperature on the Life Cycle.|111-121|3|J. King Saud Univ.|pdf|||||
amoudi et al., 1993a|Amoudi, M.A. & Diab, F.M. & and Abou-Fannah, S.S.M.|1993|The Influence of Low Temperature on Development, Adult Longevity and Productivity of Zaprionus indiana Gupta (Diptera: Drosophilidae).|263-274|5|J. King Saud Univ.|pdf / 1993a|||||
amoudi et al., 1993b|Amoudi, M.A. & Diab, F.M. & and Abou-Fannah, S.S.M.|1993|Effects of Larval Population Density on the Life Cycle Parameters in Zaprionus indiana Gupta (Diptera: Drosophilidae).|37-40|25|Pakistan J. Zool.|pdf / 1993b|||||
amsel & hering, 1931|Amsel, H.G. & Hering, M.|1931|Beitrag zur Kenntnis der Minenfauna Palastinas.|113-152|1931|Dtsch. ent. Z.|pdf / part / seg 173|||||
amstein, 1857|Am Stein, (J.R.)|1857|Bundner Dipteren.|89-111|2|Jber. naturf. Ges. Graub.|pdf / part / p 8282||p 8282|||
ananiev & barsky, 1982|Ananiev, E.V. & Barsky, V.E.|1982|A Photographic Map of Drosophila hydei Polytene Chromosomes.|239-245|87|Chromosoma|pdf / part / p 813032 / 22.xii.1982|1982-12-22|p 813032|||
ananina & klaczko, 2007|Ananina, G. & Klaczko, L.B.|2007|Endemic inversions in Brazilian populations of Drosophila melanogaster.|116-121|90|D. I. S.|pdf|||||
ananina et al., 2002|Ananina, G. & Peixoto, A.A. & Souza, W.N. & Klaczko, L.B.|2002|Polytene Chromosome Map and Inversion Polymorphism in Drosophila mediopunctata.|1-4|97|Mem. Inst. Oswaldo Cruz|pdf|||||
ananina et al., 2004|Ananina, G. & Peixoto, A.A. & Bitner-Mathe, B.C. & Souza, W.N. & Basso da Silva, L. & Valente, V.L.S. & Klaczko, L.B.|2004|Chromosomal inversion polymorphism in Drosophila mediopunctata: seasonal, altitudinal, and latitudinal variation.|61-69|27|Genet. and Molec. Biol.|pdf|||||
ananina et al., 2007|Ananina, G. & Rohde, C. & David, J.R. & Valente, V.L.S. & Klaczko, L.B.|2007|Inversion polymorphism and a new polytene chromosome map of Zaprionus indianus Gupta (1970) (Diptera: Drosophilidae).|117-125|131|Genetica|pdf|||||
andersen et al., 2002|Andersen, D.H. & Pertoldi, C. & Scali, V. & Loeschcke, V.|2002|Intraspecific hybridization, developmental stability and fitness in Drosophila mercatorum.|603-621|4|Evol. Ecol. Res.|pdf|||||
anderson & ehrman, 1969|Anderson, W.W. & Ehrman, L.|1969|Mating Choice in Crosses between Geographic Populations of Drosophila pseudoobscura.|47-53|81|Am. Midl. Nat.|pdf / 29.i.1969 / xsn 3144|1969-01-29||||
anderson & gibson, 1985|Anderson, D.G. & Gibson, J.B.|1985|Variation in alcohol dehydrogenase activity in vitro in flies from natural populations of Drosophila melanogaster.|13-19|67|Genetica|pdf / 31.vii.1985|1985-07-31||||
anderson & kim, 2005|Anderson, W.W. & Kim, Y.-K.|2005|Sexual Isolation Between Sympatric and Allopatric Populations of Drosophila pseudoobscura and D. persimilis.|305-312|35|Behav. Genet.|pdf|||||
anderson & kim, 2006|Anderson, W.W. & Kim, Y.-K.|2006|A Further Analysis of Sexual Isolation Between Sympatric and Allopatric Populations of Drosophila pseudoobscura and D. persimilis.|328-330|36|Behav. Genet.|pdf|||||
